stamp,log_run_id,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,model_sha256,model_target_mode,model_input_normalization,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y,fuzzy_alpha_ann,fuzzy_alpha_odom,fuzzy_velocity_error,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14
67.100000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.049106768,-0.205235413,1.049106768,-0.205235413,2.056760288,0.709142146,1.491054609,-0.061876989,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.462491895,-0.006292205,-0.241909096,0.241990914,-0.000058136,0.276585756,0.276585762,-0.000116272,0.553171513,0.553171525,-0.011853651,0.313593594,0.398418365,0.202131874,-0.014843700,0.070920263
67.152000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.127696329,-0.186233546,1.127696329,-0.186233546,2.076523952,0.778115207,1.413610303,0.217432671,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.495233059,-0.003829161,0.412749282,0.412767043,-0.000033618,0.276911543,0.276911545,-0.000067236,0.553823086,0.553823090,-0.000184557,0.313960189,0.398640420,0.204108241,-0.000231133,0.077817569
67.212000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.085330784,-0.146850800,1.085330784,-0.146850800,2.096315096,0.847073037,1.488970553,0.124237812,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.452363001,0.004159226,0.153380285,0.153436668,-0.000017331,0.276483436,0.276483436,-0.000034662,0.552966871,0.552966872,-0.016055541,0.313461587,0.398153177,0.206087355,-0.020099883,0.084713352
67.315000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.087153827,-0.125811273,1.087153827,-0.125811273,2.109502870,0.893043830,1.589661128,0.004854829,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.462238672,0.002104833,0.027726171,0.027805950,-0.000010174,0.276577705,0.276577705,-0.000020349,0.553155409,0.553155409,-0.013440571,0.313543739,0.398155394,0.207406132,-0.016822031,0.089310431
67.383000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.250801421,-0.067734069,1.250801421,-0.067734069,2.149076993,1.030990271,1.684528771,0.048241006,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.496500592,-0.000020047,0.394263377,0.394263378,-0.000005996,0.276923083,0.276923083,-0.000011992,0.553846166,0.553846166,0.023105053,0.314691854,0.397552949,0.211363545,0.028907831,0.103105075
67.429000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.256518479,-0.057640031,1.256518479,-0.057640031,2.155685500,1.053974291,1.336845186,0.027156537,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.496547500,-0.000020047,0.394263377,0.394263378,-0.000005996,0.276923083,0.276923083,-0.000011992,0.553846166,0.553846166,0.023105053,0.314691854,0.397537354,0.212024395,0.028906697,0.105403477
67.489000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.207379040,-0.000798876,1.207379040,-0.000798876,2.182120275,1.145912125,1.832606462,0.042913266,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.402261851,-0.002905911,-1.000000000,1.000000000,-0.000014034,0.275985815,0.275985816,-0.000028069,0.551971631,0.551971631,-0.010486819,0.313636534,0.398556847,0.214667873,-0.013135333,0.114597261
67.549000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.140807107,-0.010588930,1.140807107,-0.010588930,2.188729292,1.168885048,1.702501405,0.283251898,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.377910055,-0.006065066,-0.115622717,0.115781681,-0.000027377,0.275731445,0.275731447,-0.000054755,0.551462891,0.551462894,-0.018921776,0.313371542,0.397707824,0.215328775,-0.023669434,0.116894553
67.552000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.327463775,0.002072359,1.327463775,0.002072359,2.195346932,1.191869870,1.609741861,0.178561440,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.512240837,0.000692789,0.587050981,0.587051390,-0.000025784,0.277081663,0.277081664,-0.000051568,0.554163325,0.554163328,0.029649734,0.314897461,0.396913704,0.215990539,0.037078774,0.119193035
67.645000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.258690640,0.029115673,1.258690640,0.029115673,2.201970570,1.214865079,1.743171867,0.127203494,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.442712867,-0.005441695,-1.000000000,1.000000000,-0.000027961,0.276392204,0.276392205,-0.000055921,0.552784408,0.552784411,0.004947377,0.314121414,0.398787715,0.216652902,0.006198714,0.121492556
67.672000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.187284906,0.022831911,1.187284906,0.022831911,2.208591593,1.237831303,1.682593490,0.081820186,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.411484650,-0.002493755,-0.064033740,0.064082280,-0.000040679,0.276065632,0.276065635,-0.000081358,0.552131264,0.552131270,-0.005962799,0.313778660,0.398289718,0.217315005,-0.007461908,0.123789178
67.721000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.308735586,0.096887163,1.308735586,0.096887163,2.261518537,1.421698257,1.871964351,0.179365059,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.472553926,-0.005413746,0.388486238,0.388523958,-0.000116064,0.276682490,0.276682514,-0.000232128,0.553364979,0.553365028,0.012251691,0.314350885,0.398270626,0.222607699,0.015336940,0.142175874
67.751000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.295585880,0.129898956,1.295585880,0.129898956,2.281352937,1.490657993,2.241798666,0.182827823,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.474228332,-0.007707778,0.131916561,0.132141549,-0.000127054,0.276700471,0.276700500,-0.000254107,0.553400942,0.553401001,0.012521062,0.314359348,0.398298886,0.224591139,0.015675601,0.149071847
67.840000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.359844377,0.168326406,1.359844377,0.168326406,2.301170463,1.559607851,2.083002053,-0.026990664,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.480417578,0.000705292,0.449043074,0.449043627,-0.000110503,0.276762157,0.276762179,-0.000221007,0.553524314,0.553524358,0.014055816,0.314407564,0.398211550,0.226572892,0.017595524,0.155966833
