stamp,source,forced_dropout,x,y
22.950000000,gps,False,0.819931793,3.234707318
23.001000000,gps,False,0.978678464,3.111374347
23.050000000,gps,False,0.778111508,3.091386385
23.100000000,gps,False,0.694129384,3.114026260
23.150000000,gps,False,0.768856581,2.887633666
23.200000000,gps,False,0.627024263,2.930240953
23.250000000,gps,False,0.836463591,2.855559910
23.300000000,gps,False,0.745019732,3.040872618
23.351000000,gps,False,0.631515978,3.134516165
23.400000000,gps,False,0.547361900,2.985466767
23.450000000,gps,False,0.384592210,2.976367821
23.500000000,gps,False,0.211800335,2.752145160
23.551000000,gps,False,0.414395379,3.016758537
23.600000000,gps,False,0.167691048,2.836390911
23.650000000,gps,False,0.418858041,2.944719056
23.700000000,gps,False,0.170168206,2.903280975
23.750000000,gps,False,0.097291297,2.940831487
23.800000000,gps,False,0.194131953,2.966539627
23.850000000,gps,False,-0.024432349,2.688286310
23.900000000,gps,False,0.276663271,2.923627838
23.950000000,gps,False,0.023691364,2.723806065
24.000000000,gps,False,0.160135812,2.912334538
24.050000000,gps,False,-0.144079086,2.457014644
24.100000000,gps,False,0.011436816,2.724597880
24.150000000,gps,False,0.005256678,2.627718947
24.200000000,gps,False,-0.114446422,2.512145295
24.250000000,gps,False,0.013433690,2.742688748
24.300000000,gps,False,-0.012761094,2.545499076
24.350000000,gps,False,-0.122854503,2.604571278
24.403000000,gps,False,0.051839734,2.332317395
24.450000000,gps,False,0.077557739,2.308194787
24.501000000,gps,False,0.087293519,2.243946626
24.550000000,gps,False,0.219531988,2.023837300
24.600000000,gps,False,-0.039796266,2.226382698
24.652000000,gps,False,0.047221340,2.331433971
24.719000000,gps,False,0.016545968,2.215114441
24.751000000,gps,False,-0.211517243,2.082698878
24.817000000,gps,False,0.029931938,2.087652621
24.850000000,gps,False,-0.070924896,2.266937805
24.900000000,gps,False,-0.026033614,1.855274464
24.950000000,gps,False,-0.201752372,1.884492479
25.000000000,gps,False,0.032871937,2.021163949
25.050000000,gps,False,-0.055213428,2.041782827
25.104000000,gps,False,-0.160154328,1.839232510
25.151000000,gps,False,-0.035774885,1.682755120
25.201000000,gps,False,0.009716416,1.672699780
25.264000000,gps,False,-0.073512312,1.726375811
25.303000000,gps,False,-0.229049894,1.457526006
25.351000000,gps,False,0.029824534,1.657231287
25.400000000,gps,False,0.030178698,1.614779329
