stamp,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y
6.550000000,gps,True,False,True,True,188,1.295221160,0.148438557,1.443115765,0.023710426,1.586137789,-0.033916842,1.443115765,0.023710426,first_gps,0.062068549,0.034649841
6.600000000,gps,True,False,True,True,188,1.401430827,0.052015684,1.485861772,-0.085148571,1.627323723,-0.034762557,1.485861772,-0.085148571,first_gps,0.062068549,0.034649841
6.651000000,gps,True,False,True,True,188,1.503805519,0.134659675,1.372772426,0.177178671,1.689118005,-0.035964597,1.372772426,0.177178671,first_gps,0.062068549,0.034649841
6.701000000,gps,True,False,True,True,188,1.472953447,0.164203777,1.471970514,-0.126426736,1.750910705,-0.037244128,1.471970514,-0.126426736,first_gps,0.062068549,0.034649841
6.751000000,gps,True,False,True,True,188,1.538670422,0.157016957,1.617707202,-0.187441714,1.792122321,-0.038176895,1.617707202,-0.187441714,first_gps,0.062068549,0.034649841
6.800000000,gps,True,False,True,True,188,1.597555883,0.160318820,1.573626642,-0.189087809,1.853922658,-0.039550630,1.573626642,-0.189087809,first_gps,0.062068549,0.034649841
6.850000000,gps,True,False,True,True,188,1.576132769,0.168083851,1.688966362,-0.159708434,1.895107975,-0.040480340,1.688966362,-0.159708434,first_gps,0.062068549,0.034649841
6.900000000,gps,True,False,True,True,188,1.572218803,0.204939194,1.638091787,0.073596719,1.936299329,-0.041390186,1.638091787,0.073596719,first_gps,0.062068549,0.034649841
6.950000000,gps,True,False,True,True,188,1.639149511,0.192083976,1.642378264,-0.116446414,1.998086107,-0.042880862,1.642378264,-0.116446414,first_gps,0.062068549,0.034649841
7.000000000,gps,True,False,True,True,188,1.811866724,0.165650243,1.795270771,-0.121711334,2.059889398,-0.044415519,1.795270771,-0.121711334,first_gps,0.062068549,0.034649841
7.050000000,gps,True,False,True,True,188,1.773488950,0.178655106,1.962594865,-0.143467458,2.101084153,-0.045414018,1.962594865,-0.143467458,first_gps,0.062068549,0.034649841
7.100000000,gps,True,False,True,True,188,1.801287236,0.193223452,1.765598353,-0.059549652,2.142271479,-0.046381221,1.765598353,-0.059549652,first_gps,0.062068549,0.034649841
