stamp,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y,fuzzy_alpha_ann,fuzzy_alpha_odom,fuzzy_velocity_error
5.851000000,gps,True,False,True,True,188,2.016998294,0.268871973,2.024324367,-0.068393817,2.410269194,-0.040770765,2.024324367,-0.068393817,first_gps,0.093439496,0.058487462,nan,nan,nan
5.901000000,gps,True,False,True,True,188,2.083695297,0.162117678,2.130396895,-0.031537904,2.451486367,-0.041364571,2.130396895,-0.031537904,first_gps,0.093439496,0.058487462,nan,nan,nan
5.950000000,gps,True,False,True,True,188,2.223649518,0.092103414,2.077666264,-0.197736845,2.513267213,-0.042221314,2.077666264,-0.197736845,first_gps,0.093439496,0.058487462,nan,nan,nan
6.000000000,gps,True,False,True,True,188,2.119136159,0.256449197,2.294657894,0.109287631,2.575092845,-0.043080528,2.294657894,0.109287631,first_gps,0.093439496,0.058487462,nan,nan,nan
6.050000000,gps,True,False,True,True,188,2.118581296,0.282243768,2.086394600,-0.102604995,2.616293054,-0.043692937,2.086394600,-0.102604995,first_gps,0.093439496,0.058487462,nan,nan,nan
6.101000000,gps,True,False,True,True,188,2.241341174,0.216554729,2.327758360,0.112794637,2.678091542,-0.044544690,2.327758360,0.112794637,first_gps,0.093439496,0.058487462,nan,nan,nan
6.150000000,gps,True,False,True,True,188,2.299149735,0.281237076,2.143020633,0.158984544,2.719302150,-0.045167682,2.143020633,0.158984544,first_gps,0.093439496,0.058487462,nan,nan,nan
6.200000000,gps,True,False,True,True,188,2.374039531,0.091632015,2.197854022,0.031034617,2.760507616,-0.045790232,2.197854022,0.031034617,first_gps,0.093439496,0.058487462,nan,nan,nan
6.250000000,gps,True,False,True,True,188,2.328106069,0.274006924,2.671730558,-0.167285147,2.822294315,-0.046815976,2.671730558,-0.167285147,first_gps,0.093439496,0.058487462,nan,nan,nan
6.302000000,gps,True,False,True,True,188,2.353413527,0.272704803,2.388249624,-0.036009497,2.884118122,-0.047921107,2.388249624,-0.036009497,first_gps,0.093439496,0.058487462,nan,nan,nan
6.351000000,gps,True,False,True,True,188,2.489519072,0.258893096,2.477688425,-0.095840094,2.925295012,-0.048614193,2.477688425,-0.095840094,first_gps,0.093439496,0.058487462,nan,nan,nan
6.402000000,gps,True,False,True,True,188,2.639038024,0.106529874,2.429216903,-0.076084722,2.987088869,-0.047708678,2.429216903,-0.076084722,first_gps,0.093439496,0.058487462,nan,nan,nan
6.450000000,gps,True,False,True,True,188,2.630361436,0.165285635,2.739998836,-0.036699717,3.028114804,-0.043682464,2.739998836,-0.036699717,first_gps,0.093439496,0.058487462,nan,nan,nan
6.503000000,gps,True,False,True,True,188,2.762262344,0.149480919,2.674152073,-0.217808468,3.088899586,-0.032629175,2.674152073,-0.217808468,first_gps,0.093439496,0.058487462,nan,nan,nan
6.550000000,gps,True,False,True,True,188,2.768911466,0.222788116,2.808878385,0.081067758,3.128688435,-0.021993085,2.808878385,0.081067758,first_gps,0.093439496,0.058487462,nan,nan,nan
6.604000000,gps,True,False,True,True,188,2.819175617,0.270015615,2.777084053,0.009228480,3.186921972,-0.001325788,2.777084053,0.009228480,first_gps,0.093439496,0.058487462,nan,nan,nan
6.650000000,gps,True,False,True,True,188,2.947768920,0.212656072,2.827566179,0.162747093,3.224494666,0.015593464,2.827566179,0.162747093,first_gps,0.093439496,0.058487462,nan,nan,nan
6.703000000,gps,True,False,True,True,188,2.986023594,0.242698812,2.891845308,0.095995733,3.278543262,0.045545369,2.891845308,0.095995733,first_gps,0.093439496,0.058487462,nan,nan,nan
6.753000000,gps,True,False,True,True,188,2.939189855,0.325660585,2.918614318,0.273569477,3.312832752,0.068382322,2.918614318,0.273569477,first_gps,0.093439496,0.058487462,nan,nan,nan
6.801000000,gps,True,False,True,True,188,2.997996459,0.414241888,3.073673673,0.190798531,3.361335730,0.106678952,3.073673673,0.190798531,first_gps,0.093439496,0.058487462,nan,nan,nan
6.852000000,gps,True,False,True,True,188,3.048155744,0.392547071,2.720734367,0.057577512,3.391471631,0.134768839,2.720734367,0.057577512,first_gps,0.093439496,0.058487462,nan,nan,nan
6.900000000,gps,True,False,True,True,188,3.095143461,0.377307125,3.157309420,0.171245487,3.419689704,0.164830434,3.157309420,0.171245487,first_gps,0.093439496,0.058487462,nan,nan,nan
6.950000000,gps,True,False,True,True,188,3.100230450,0.492355717,2.961838248,0.389764071,3.458033553,0.213240842,2.961838248,0.389764071,first_gps,0.093439496,0.058487462,nan,nan,nan
7.000000000,gps,True,False,True,True,188,3.104975226,0.564529955,2.948172847,0.225825435,3.480861509,0.247552543,2.948172847,0.225825435,first_gps,0.093439496,0.058487462,nan,nan,nan
7.050000000,gps,True,False,True,True,188,3.165678449,0.521929967,2.973880744,0.274343443,3.510797803,0.301582813,2.973880744,0.274343443,first_gps,0.093439496,0.058487462,nan,nan,nan
7.100000000,gps,True,False,True,True,188,3.167078498,0.583596270,3.081324978,0.473423915,3.535301293,0.358310783,3.081324978,0.473423915,first_gps,0.093439496,0.058487462,nan,nan,nan
7.150000000,gps,True,False,True,True,188,3.184655780,0.601778683,2.907650734,0.375277478,3.548549139,0.397342731,2.907650734,0.375277478,first_gps,0.093439496,0.058487462,nan,nan,nan
7.200000000,gps,True,False,True,True,188,3.195506344,0.657428601,2.962024212,0.600602892,3.559249817,0.437115384,2.962024212,0.600602892,first_gps,0.093439496,0.058487462,nan,nan,nan
7.250000000,gps,True,False,True,True,188,3.223875175,0.742030176,3.050048951,0.497195714,3.570461312,0.497898129,3.050048951,0.497195714,first_gps,0.093439496,0.058487462,nan,nan,nan
7.300000000,gps,True,False,True,True,188,3.247450189,0.787427959,3.001723738,0.492208473,3.575243865,0.538822646,3.001723738,0.492208473,first_gps,0.093439496,0.058487462,nan,nan,nan
7.350000000,gps,True,False,True,True,188,3.222529678,0.791334523,2.991192212,0.452645118,3.582427718,0.600200703,2.991192212,0.452645118,first_gps,0.093439496,0.058487462,nan,nan,nan
7.402000000,gps,True,False,True,True,188,3.176689327,0.865586153,2.974165898,0.657173388,3.589797845,0.661580452,2.974165898,0.657173388,first_gps,0.093439496,0.058487462,nan,nan,nan
7.450000000,gps,True,False,True,True,188,3.184829746,0.829566260,2.894842976,0.576289789,3.594670219,0.702498077,2.894842976,0.576289789,first_gps,0.093439496,0.058487462,nan,nan,nan
7.500000000,gps,True,False,True,True,188,3.183122433,0.963869647,2.970553963,0.695695021,3.600252882,0.743327127,2.970553963,0.695695021,first_gps,0.093439496,0.058487462,nan,nan,nan
7.550000000,gps,True,False,True,True,188,3.171666362,1.007019189,3.088295815,0.735829856,3.609692210,0.804399148,3.088295815,0.735829856,first_gps,0.093439496,0.058487462,nan,nan,nan
7.602000000,gps,True,False,True,True,188,3.149630701,1.026178139,3.062593786,0.810069151,3.621181769,0.865107612,3.062593786,0.810069151,first_gps,0.093439496,0.058487462,nan,nan,nan
7.650000000,gps,True,False,True,True,188,3.145472185,1.060882048,2.919222754,0.988231018,3.630219057,0.905316014,2.919222754,0.988231018,first_gps,0.093439496,0.058487462,nan,nan,nan
7.700000000,gps,True,False,True,True,188,3.079589096,1.131166380,3.034552370,0.944491369,3.643764889,0.965615864,3.034552370,0.944491369,first_gps,0.093439496,0.058487462,nan,nan,nan
7.752000000,gps,True,False,True,True,188,3.127822465,1.133814575,3.001548067,0.978930436,3.652855789,1.005826869,3.001548067,0.978930436,first_gps,0.093439496,0.058487462,nan,nan,nan
7.801000000,gps,True,False,True,True,188,3.038822700,1.164475234,3.034880004,1.243276598,3.665202538,1.066382082,3.034880004,1.243276598,first_gps,0.093439496,0.058487462,nan,nan,nan
7.850000000,gps,True,False,True,True,188,3.072203426,1.234073487,3.081709906,1.006626689,3.672947183,1.106846366,3.081709906,1.006626689,first_gps,0.093439496,0.058487462,nan,nan,nan
7.900000000,gps,True,False,True,True,188,3.097767760,1.285710441,3.042933210,0.991927867,3.680699660,1.147323770,3.042933210,0.991927867,first_gps,0.093439496,0.058487462,nan,nan,nan
7.952000000,gps,True,False,True,True,188,3.064052337,1.283378445,2.995573240,1.432536050,3.692230483,1.208058784,2.995573240,1.432536050,first_gps,0.093439496,0.058487462,nan,nan,nan
8.001000000,gps,True,False,True,True,188,3.044362565,1.348303167,3.120526053,1.092016229,3.703796102,1.268780461,3.120526053,1.092016229,first_gps,0.093439496,0.058487462,nan,nan,nan
8.054000000,gps,True,False,True,True,188,3.072793190,1.414332516,2.853720902,1.200883493,3.711478128,1.309260847,2.853720902,1.200883493,first_gps,0.093439496,0.058487462,nan,nan,nan
8.102000000,gps,True,False,True,True,188,3.040097886,1.466410137,3.061865470,1.395361817,3.722941634,1.369998442,3.061865470,1.395361817,first_gps,0.093439496,0.058487462,nan,nan,nan
8.150000000,gps,True,False,True,True,188,3.008172002,1.455633496,3.197897753,1.412512896,3.730583832,1.410472058,3.197897753,1.412512896,first_gps,0.093439496,0.058487462,nan,nan,nan
