stamp,sample_index,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,target_x_m,target_y_m,target_x_norm,target_y_norm,odom_x_m,odom_y_m,target_norm_m,odom_error_m,training_target_x_m,training_target_y_m,training_target_x_norm,training_target_y_norm,prediction_x_m,prediction_y_m,prediction_error_m,target_mode
172.100000000,26,-0.056342455,0.053311410,0.077566608,0.002933152,0.003949332,0.004919411,0.005866304,0.007898665,0.009838823,0.237477275,0.007958287,0.066901034,0.374914004,0.061833823,0.082530292,3.862254266,0.821733443,0.386225427,0.082173344,3.749140040,0.825302924,3.948702808,0.113170532,3.862254266,0.821733443,0.386225427,0.082173344,2.771109113,0.355260426,1.186673847,absolute
172.300000000,27,0.001780732,0.022569018,0.022639161,0.002549270,0.004105844,0.004832880,0.005098539,0.008211689,0.009665761,0.247096831,0.008260495,0.057328231,0.378497162,0.056291921,0.086182672,3.917869477,0.952664182,0.391786948,0.095266418,3.784971621,0.861826724,4.032030541,0.160976035,3.917869477,0.952664182,0.391786948,0.095266418,2.768687615,0.361715967,1.292222405,absolute
172.600000000,28,1.000000000,0.052050532,1.000000000,0.005216092,0.004152434,0.006667108,0.010432185,0.008304867,0.013334215,0.238249520,0.007982548,0.125611274,0.383246122,0.116663579,0.091077072,3.735821926,1.011556599,0.373582193,0.101155660,3.832461219,0.910770719,3.870350399,0.139631467,3.735821926,1.011556599,0.373582193,0.101155660,2.659263454,0.421784410,1.227521640,absolute
172.800000000,29,0.103867730,-0.096735534,0.141937553,0.005925554,0.006144997,0.008536579,0.011851108,0.012289994,0.017073158,0.354675587,0.011640181,0.085297673,0.388983598,0.173665988,0.100159820,3.826841175,1.098976181,0.382684118,0.109897618,3.889835982,1.001598196,3.981515041,0.115977660,3.826841175,1.098976181,0.382684118,0.109897618,3.314602138,0.643259176,0.685614191,absolute
173.100000000,30,0.002695175,0.692393697,0.692398942,0.007014581,0.009480936,0.011793748,0.014029161,0.018961872,0.023587496,0.522804239,0.016922098,-0.016475163,0.392035239,0.229572767,0.120072373,3.890604410,1.162576365,0.389060441,0.116257636,3.920352390,1.200723727,4.060589425,0.048375237,3.890604410,1.162576365,0.389060441,0.116257636,3.654850984,1.002299192,0.285076218,absolute
173.300000000,31,0.072867541,0.171994809,0.186793717,0.007556251,0.010663693,0.013069478,0.015112501,0.021327385,0.026138957,0.575342338,0.018572631,-0.057799692,0.389763857,0.239617461,0.134228426,3.919067204,1.333216948,0.391906720,0.133321695,3.897638567,1.342284264,4.139632252,0.023268062,3.919067204,1.333216948,0.391906720,0.133321695,3.674125354,1.161187181,0.299317141,absolute
173.600000000,32,0.038560009,0.177251992,0.181397748,0.008000030,0.011632909,0.014118252,0.016000060,0.023265817,0.028236505,0.617108599,0.019884757,-0.093828224,0.382839834,0.243420203,0.154408333,3.765116834,1.680417065,0.376511683,0.168041706,3.828398345,1.544083334,4.123094261,0.150304477,3.765116834,1.680417065,0.376511683,0.168041706,3.724073160,1.384987969,0.298266548,absolute
173.800000000,33,0.012834525,-0.202106842,0.202513952,0.008121853,0.012056745,0.014537180,0.016243706,0.024113490,0.029074359,0.634299038,0.020424811,-0.109191134,0.375372063,0.243258430,0.170132657,3.821620669,1.554969045,0.382162067,0.155496905,3.753720631,1.701326569,4.125859095,0.161341067,3.821620669,1.554969045,0.382162067,0.155496905,3.728979746,1.528043029,0.096474613,absolute
174.100000000,34,0.012856093,-0.160536426,0.161050375,0.008341616,0.012174485,0.014758071,0.016683232,0.024348971,0.029516141,0.636208420,0.020484796,-0.112769923,0.363458494,0.247250680,0.191255801,3.859802369,1.767454287,0.385980237,0.176745429,3.634584941,1.912558006,4.245228967,0.267914126,3.859802369,1.767454287,0.385980237,0.176745429,3.713174433,1.702295191,0.160453916,absolute
174.300000000,35,-0.008084696,0.006958828,0.010667127,0.008360139,0.013080689,0.015524057,0.016720279,0.026161377,0.031048114,0.672813213,0.021634769,-0.141434825,0.355688321,0.234400187,0.203770289,3.657843546,2.023427731,0.365784355,0.202342773,3.556883212,2.037702893,4.180200856,0.101964549,3.657843546,2.023427731,0.365784355,0.202342773,3.683654852,1.849523546,0.175809240,absolute
