stamp,ann_x,ann_y,kf2_x,kf2_y,output_x,output_y,alpha_ann,alpha_kf2,alpha_target,slip_latch_alpha,slip_latch_active,severe_slip_boost,severe_slip_boost_active,disagreement_boost,ann_kf2_disagreement,ann_kf2_disagreement_rate,fuzzy_input_error,velocity_error_baseline,baseline_initialized,velocity_error,velocity_error_raw,odom_speed,odom_vx,odom_vy,imu_raw_vx,imu_raw_vy,imu_vx,imu_vy
2.500000000,0.663020678,0.229533519,0.395075111,-0.044718424,0.395075111,-0.044718424,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.383417468,-0.046844323,0.000000000,0.134091723,True,0.129233756,0.146957600,0.879480458,0.879480458,0.000000000,0.840846096,-0.141788301,0.848779378,-0.125534089
2.550000000,0.694772012,0.225952245,0.395075111,-0.044718424,0.395075111,-0.044718424,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.403832692,0.408304481,0.000000000,0.134051410,True,0.130040215,0.150009373,0.880234038,0.880234038,0.000000000,0.827119287,-0.140291252,0.837600887,-0.122853051
2.600000000,0.760496999,0.220153110,0.395075111,-0.044718424,0.395075111,-0.044718424,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.451320380,0.949753759,0.000000000,0.133996410,True,0.128523835,0.149780147,0.880503977,0.880503977,0.000000000,0.821917642,-0.137846776,0.833383582,-0.119574431
2.650000000,0.793930649,0.210313739,0.551280294,-0.081935755,0.551280294,-0.081935755,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.379853869,-1.429330226,0.000000000,0.133917938,True,0.126109913,0.149490945,0.879934881,0.879934881,0.000000000,0.808920554,-0.131546600,0.823227937,-0.112641167
2.701000000,0.922988987,0.226583469,0.551280294,-0.081935755,0.551280294,-0.081935755,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.483064658,2.023740960,0.000000000,0.133852723,True,0.127363856,0.152378731,0.880357634,0.880357634,0.000000000,0.811828114,-0.136099164,0.826230103,-0.115289905
2.750000000,0.848049261,0.200576890,0.633069450,-0.124918640,0.633069450,-0.124918640,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.390081605,-1.897613322,0.000000000,0.133804746,True,0.129030913,0.156288342,0.880168009,0.880168009,0.000000000,0.812427870,-0.140845019,0.827364850,-0.117731911
2.800000000,0.846452206,0.197028912,0.633069450,-0.124918640,0.633069450,-0.124918640,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.386241410,-0.076803915,0.000000000,0.133761325,True,0.129440912,0.158153425,0.879832061,0.879832061,0.000000000,0.803447452,-0.138484286,0.820690100,-0.115139819
2.850000000,0.906099469,0.204776194,0.680016442,0.133309577,0.680016442,0.133309577,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.237109706,-2.982634075,0.000000000,0.133717048,True,0.129311427,0.160345745,0.880001866,0.880001866,0.000000000,0.798527396,-0.138103832,0.817571165,-0.113242451
2.901000000,0.983565026,0.209104970,0.680016442,0.133309577,0.680016442,0.133309577,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.312868478,1.485466118,0.000000000,0.133680867,True,0.130080850,0.162823035,0.879630462,0.879630462,0.000000000,0.793612900,-0.138247314,0.814337674,-0.112507242
2.950000000,0.990735666,0.196684626,0.911647325,0.015687996,0.911647325,0.015687996,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.197521507,-2.354019805,0.000000000,0.133675261,True,0.133117512,0.168282113,0.879561078,0.879561078,0.000000000,0.792632733,-0.144091402,0.814618871,-0.116201470
3.000000000,0.997044019,0.200620102,0.911647325,0.015687996,0.911647325,0.015687996,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.203697028,0.123510416,0.000000000,0.133671445,True,0.133291678,0.170130205,0.879743924,0.879743924,0.000000000,0.809264024,-0.154844666,0.828690429,-0.123126813
3.053000000,0.957571930,0.189476583,0.878757404,-0.030234242,0.878757404,-0.030234242,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.233419314,0.560797842,0.001397826,0.133685493,True,0.135083319,0.174139726,0.880155604,0.880155604,0.000000000,0.795596341,-0.152231322,0.819089789,-0.120492612
3.100000000,0.998638179,0.187040301,0.951593763,0.034804099,0.951593763,0.034804099,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.159339381,-1.576168778,0.002418820,0.133709803,True,0.136128623,0.176647415,0.880000214,0.880000214,0.000000000,0.798052526,-0.156489251,0.821480837,-0.122908439
3.150000000,0.998638179,0.187040301,0.951593763,0.034804099,0.951593763,0.034804099,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.159339381,0.000000000,0.000483099,0.133714658,True,0.134197757,0.177140280,0.880390456,0.880390456,0.000000000,0.772951069,-0.140838407,0.802607003,-0.109356172
3.200000000,1.109902921,0.176453159,1.049236980,-0.066903691,1.049236980,-0.066903691,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.250804532,1.829303018,0.003174410,0.133746561,True,0.136920971,0.181594848,0.879907594,0.879907594,0.000000000,0.787832925,-0.156521385,0.814162637,-0.120103925
3.250000000,1.054700752,0.173468126,1.049236980,-0.066903691,1.049236980,-0.066903691,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.240433907,-0.207412507,0.001687545,0.133763521,True,0.135451066,0.182469612,0.880142839,0.880142839,0.000000000,0.769000603,-0.144715454,0.800305136,-0.109420896
3.300000000,1.133872353,0.170787715,1.049236980,-0.066903691,1.049236980,-0.066903691,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.252310030,0.237522461,0.000000000,0.133749675,True,0.132371994,0.181337994,0.879807641,0.879807641,0.000000000,0.772581275,-0.146239443,0.803803220,-0.108377454
3.350000000,1.142998313,0.169537154,1.090202007,-0.185887331,1.090202007,-0.185887331,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.359324386,2.140287130,0.000000000,0.133741397,True,0.132917661,0.184053439,0.880139605,0.880139605,0.000000000,0.765000206,-0.143591739,0.799273554,-0.105488325
3.400000000,1.186393337,0.166689821,1.090202007,-0.185887331,1.090202007,-0.185887331,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.365463296,0.122778186,0.000000000,0.133691353,True,0.128711995,0.181376099,0.879866102,0.879866102,0.000000000,0.765246584,-0.140569041,0.800092113,-0.101009348
3.450000000,1.191502823,0.164259452,1.240258186,0.117071912,1.240258186,0.117071912,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.067850935,-5.952247219,0.000000000,0.133660505,True,0.130591081,0.185679904,0.879836872,0.879836872,0.000000000,0.748088691,-0.130841291,0.787918958,-0.092763826
3.500000000,1.306648396,0.163537053,1.089836477,-0.025698652,1.089836477,-0.025698652,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.287780402,4.398589355,0.000000000,0.133657266,True,0.133334940,0.190002265,0.880265925,0.880265925,0.000000000,0.756102937,-0.143820768,0.792950719,-0.100768353
3.550000000,1.200820245,0.141076367,1.089836477,-0.025698652,1.089836477,-0.025698652,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.200327989,-1.749048257,0.000000000,0.133623145,True,0.130228091,0.189344601,0.880300486,0.880300486,0.000000000,0.752928482,-0.140099074,0.792604498,-0.096274448
3.601000000,1.277991567,0.162628671,1.306374782,0.005442991,1.306374782,0.005442991,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.159727721,-0.796083706,0.000000000,0.133608935,True,0.132195072,0.193509163,0.880384560,0.880384560,0.000000000,0.745041028,-0.138303740,0.787385587,-0.093950668
