stamp,ekf_x,ekf_y,pseudo_x,pseudo_y,gps_x,gps_y,odom_x,odom_y,ann_x,ann_y,kf_imu_x,kf_imu_y,complementary_x,complementary_y,ekf_error_m,pseudo_error_m,odom_error_m,ann_error_m,kf_imu_error_m,complementary_error_m
33.040000000,1.144047051,-0.221231736,1.001735046,-0.179431339,1.000256358,-0.070856583,-0.091751797,0.939079192,1.001735046,-0.179431339,1.104752197,-0.174158548,1.058654890,-0.220641161,0.208058767,0.108584826,1.487431370,0.108584826,0.146937662,0.160766316
33.140000000,1.221530656,-0.196299833,1.102200052,-0.076471092,1.291689265,-0.113725232,-0.030452269,0.856296427,1.102200052,-0.076471092,1.173131109,-0.162280532,1.124399624,-0.197695142,0.108354950,0.193116631,1.639817141,0.193116631,0.128115782,0.187181115
33.240000000,1.292837899,-0.180243110,1.215246187,-0.089988926,1.142753492,0.044897687,0.030724094,0.773404050,1.215246187,-0.089988926,1.236137722,-0.150814332,1.197330882,-0.179290183,0.270580317,0.153132587,1.329409984,0.153132587,0.216849738,0.230735547
33.340000000,1.373352927,-0.156473402,1.283908542,-0.038087484,1.605348250,-0.061917422,0.079643065,0.707066553,1.283908542,-0.038087484,1.312570276,-0.136365189,1.264487811,-0.165528721,0.250524776,0.322321813,1.708541092,0.322321813,0.302095038,0.356259933
33.420000000,1.438558767,-0.140792230,1.332954525,-0.102456690,1.453822767,-0.239631003,0.152932488,0.607505588,1.332954525,-0.102456690,1.377633477,-0.128600119,1.342961601,-0.146419296,0.100010463,0.182827580,1.552403273,0.182827580,0.134657584,0.144839982
33.540000000,1.526130118,-0.140715972,1.378781385,-0.140821017,1.606775250,-0.029296292,0.213816747,0.524387963,1.378781385,-0.140821017,1.455372424,-0.135401404,1.408096122,-0.134696175,0.137542657,0.253808918,1.498966192,0.253808918,0.184881343,0.224905605
33.640000000,1.606371081,-0.118005043,1.490364214,-0.049119335,1.733256109,0.001976833,0.274540177,0.441162646,1.490364214,-0.049119335,1.533709262,-0.121245870,1.490751271,-0.138058688,0.174629496,0.248208161,1.523396320,0.248208161,0.234526712,0.280033112
33.740000000,1.652173283,-0.127346078,1.460583193,-0.149504627,1.622406511,-0.034176791,0.335139734,0.357865722,1.460583193,-0.149504627,1.575144696,-0.135340872,1.570040172,-0.119625457,0.097808879,0.198714107,1.345642259,0.198714107,0.111659529,0.100218301
33.820000000,1.688179870,-0.123534329,1.597603049,-0.101956048,1.776913087,-0.182354356,0.395660585,0.274480037,1.597603049,-0.101956048,1.613554595,-0.132158836,1.613658989,-0.131343475,0.106458346,0.196509485,1.454838870,0.196509485,0.170896422,0.171038038
33.920000000,1.762821974,-0.119358705,1.650780628,-0.111935048,1.836029398,-0.173145793,0.443842968,0.207630495,1.650780628,-0.111935048,1.700690637,-0.132151769,1.650867233,-0.127846583,0.090842599,0.195099621,1.443320352,0.195099621,0.141411068,0.190622785
