stamp,ekf_x,ekf_y,pseudo_x,pseudo_y,gps_x,gps_y,reference_x,reference_y,truth_x,truth_y,evaluation_reference_source,evaluation_reference_x,evaluation_reference_y,odom_x,odom_y,ann_x,ann_y,kf_imu_x,kf_imu_y,complementary_x,complementary_y,final_x,final_y,ekf_error_x,ekf_error_y,ekf_error_m,pseudo_error_x,pseudo_error_y,pseudo_error_m,odom_error_x,odom_error_y,odom_error_m,ann_error_x,ann_error_y,ann_error_m,kf_imu_error_x,kf_imu_error_y,kf_imu_error_m,complementary_error_x,complementary_error_y,complementary_error_m,final_error_x,final_error_y,final_error_m
21.900000000,-0.665676491,1.844593147,-0.263154179,2.036127489,-0.556970394,1.903604556,-0.556970394,1.903604556,-0.664992405,1.855405879,truth,-0.664992405,1.855405879,-0.666495573,1.844478869,-0.263154179,2.036127489,-0.506496728,1.422746883,-0.574116840,1.691161310,-0.647491602,1.899594816,-0.000684087,-0.010812733,0.010834351,0.401838226,0.180721610,0.440606695,-0.001503169,-0.010927010,0.011029917,0.401838226,0.180721610,0.440606695,0.158495677,-0.432658997,0.460776179,0.090875564,-0.164244569,0.187708942,0.017500802,0.044188937,0.047528310
21.980000000,-0.677699357,1.807868941,-0.263459675,2.019274917,-0.622118300,1.756413813,-0.622118300,1.756413813,-0.677165840,1.818787553,truth,-0.677165840,1.818787553,-0.678453590,1.807784097,-0.263459675,2.019274917,-0.511219906,1.362068761,-0.588448199,1.603330954,-0.665676491,1.844593147,-0.000533517,-0.010918612,0.010931639,0.413706165,0.200487363,0.459725977,-0.001287750,-0.011003457,0.011078554,0.413706165,0.200487363,0.459725977,0.165945934,-0.456718793,0.485932206,0.088717641,-0.215456600,0.233007224,0.011489349,0.025805593,0.028247722
22.080000000,-0.692633346,1.761922153,-0.285290454,1.977139976,-0.749858482,1.763344031,-0.749858482,1.763344031,-0.692306741,1.772964530,truth,-0.692306741,1.772964530,-0.693305581,1.761872836,-0.285290454,1.977139976,-0.516398586,1.300229761,-0.588448199,1.603330954,-0.677699357,1.807868941,-0.000326605,-0.011042377,0.011047206,0.407016287,0.204175446,0.455356861,-0.000998840,-0.011091694,0.011136578,0.407016287,0.204175446,0.455356861,0.175908155,-0.472734769,0.504402459,0.103858542,-0.169633577,0.198902356,0.014607384,0.034904411,0.037837727
22.200000000,-0.710452441,1.706730563,-0.259276867,1.947726986,-0.676785358,1.849322541,-0.676785358,1.849322541,-0.716389386,1.699550694,truth,-0.716389386,1.699550694,-0.716942364,1.688309104,-0.259276867,1.947726986,-0.520368714,1.238597929,-0.597048972,1.554049351,-0.692633346,1.761922153,0.005936945,0.007179869,0.009316536,0.457112518,0.248176293,0.520137796,-0.000552978,-0.011241590,0.011255182,0.457112518,0.248176293,0.520137796,0.196020671,-0.460952765,0.500900744,0.119340414,-0.145501342,0.188182824,0.023756040,0.062371460,0.066742403
22.280000000,-0.722272793,1.669907115,-0.301435935,1.900857207,-0.820355984,1.729428321,-0.820355984,1.729428321,-0.722387224,1.681181487,truth,-0.722387224,1.681181487,-0.722819776,1.669903639,-0.301435935,1.900857207,-0.524912359,1.176955846,-0.617682400,1.441843204,-0.710452441,1.706730563,0.000114431,-0.011274372,0.011274953,0.420951289,0.219675719,0.474823556,-0.000432553,-0.011277848,0.011286140,0.420951289,0.219675719,0.474823556,0.197474865,-0.504225642,0.541516223,0.104704824,-0.239338283,0.261239189,0.011934783,0.025549075,0.028199190
22.400000000,-0.739912531,1.614635649,-0.301406310,1.883132600,-0.534137008,1.544111399,-0.534137008,1.544111399,-0.740337668,1.626042184,truth,-0.740337668,1.626042184,-0.740381450,1.614651265,-0.301406310,1.883132600,-0.528513391,1.117026173,-0.617682400,1.441843204,-0.722272793,1.669907115,0.000425137,-0.011406535,0.011414455,0.438931358,0.257090416,0.508680862,-0.000043782,-0.011390918,0.011391002,0.438931358,0.257090416,0.508680862,0.211824277,-0.509016010,0.551331863,0.122655268,-0.184198979,0.221299749,0.018064875,0.043864932,0.047439139
22.500000000,-0.754548984,1.568540920,-0.307530252,1.860515929,-0.742493460,1.724474092,-0.742493460,1.724474092,-0.755254261,1.580063062,truth,-0.755254261,1.580063062,-0.754965561,1.568558574,-0.307530252,1.860515929,-0.533423477,1.055376434,-0.634212961,1.365830911,-0.739912531,1.614635649,0.000705276,-0.011522142,0.011543707,0.447724008,0.280452866,0.528309188,0.000288699,-0.011504488,0.011508110,0.447724008,0.280452866,0.528309188,0.221830784,-0.524686629,0.569653364,0.121041300,-0.214232151,0.246061803,0.015341730,0.034572587,0.037823702
22.580000000,-0.766220198,1.531644792,-0.332817098,1.827662137,-0.790711772,1.355450281,-0.790711772,1.355450281,-0.767164531,1.543264405,truth,-0.767164531,1.543264405,-0.766596594,1.531667801,-0.332817098,1.827662137,-0.538961229,0.991464704,-0.636668004,1.335006041,-0.754548984,1.568540920,0.000944333,-0.011619613,0.011657923,0.434347433,0.284397732,0.519172189,0.000567938,-0.011596605,0.011610503,0.434347433,0.284397732,0.519172189,0.228203302,-0.551799701,0.597126165,0.130496527,-0.208258364,0.245765925,0.012615547,0.025276515,0.028249854
22.680000000,-0.780755849,1.485515123,-0.324242537,1.801644134,-0.792968803,1.354153253,-0.792968803,1.354153253,-0.782022432,1.497266696,truth,-0.782022432,1.497266696,-0.781088186,1.485547930,-0.324242537,1.801644134,-0.542668194,0.940656024,-0.646755107,1.280002812,-0.766220198,1.531644792,0.001266583,-0.011751574,0.011819633,0.457779895,0.304377438,0.549734533,0.000934246,-0.011718766,0.011755947,0.457779895,0.304377438,0.549734533,0.239354237,-0.556610672,0.605892640,0.135267325,-0.217263884,0.255931328,0.015802234,0.034378096,0.037836016
22.780000000,-0.795102806,1.439886714,-0.373132817,1.694962165,-0.857503150,1.557990412,-0.857503150,1.557990412,-0.799352382,1.443505626,truth,-0.799352382,1.443505626,-0.795262092,1.440378434,-0.373132817,1.694962165,-0.547912816,0.864972751,-0.654444196,1.236150408,-0.780755849,1.485515123,0.004249577,-0.003618912,0.005581704,0.426219565,0.251456540,0.494867163,0.004090290,-0.003127192,0.005148767,0.426219565,0.251456540,0.494867163,0.251439567,-0.578532875,0.630810703,0.144908186,-0.207355217,0.252971478,0.018596534,0.042009497,0.045941582
